dn,P,u,v,w
7.3592e+05,15.379,-0.011851,0.052952,0.017222
7.3592e+05,15.379,-6.0809e-05,0.042938,0.013758
7.3592e+05,15.416,-6.0866e-05,0.042979,0.012759
7.3592e+05,15.428,0.0028082,0.046468,0.010903
7.3592e+05,15.428,0.014413,0.047159,0.010014
7.3592e+05,15.422,0.020891,0.044468,0.012009
7.3592e+05,15.428,0.030758,0.031438,0.010798
7.3592e+05,15.434,0.045048,0.038655,0.011424
7.3592e+05,15.452,0.051862,0.040494,0.011686
7.3592e+05,15.464,0.056388,0.034856,0.012707
7.3592e+05,15.464,0.069138,0.045715,0.013383
7.3592e+05,15.476,0.058297,0.030269,0.013684
7.3592e+05,15.47,0.078683,0.043287,0.017668
7.3592e+05,15.482,0.080412,0.056982,0.019025
7.3592e+05,15.482,0.082424,0.052456,0.016989
7.3592e+05,15.495,0.089591,0.05878,0.015372
7.3592e+05,15.513,0.089935,0.063275,0.013485
7.3592e+05,15.513,0.10486,0.058822,0.013903
7.3592e+05,15.507,0.1135,0.044089,0.0099617
7.3592e+05,15.537,0.12972,0.03908,0.011521
7.3592e+05,15.519,0.14956,0.046442,0.008378
7.3592e+05,15.543,0.15066,0.043664,0.01039
7.3592e+05,15.549,0.11661,0.059509,0.012336
7.3592e+05,15.561,0.16501,0.056281,0.0070984
7.3592e+05,15.561,0.16873,0.065474,0.0063683
7.3592e+05,15.574,0.1932,0.067206,0.0023236
7.3592e+05,15.586,0.19089,0.055316,-0.0029173
7.3592e+05,15.61,0.20303,0.072481,-0.00022998
7.3592e+05,15.592,0.20279,0.060405,-0.0013929
7.3592e+05,15.622,0.24483,0.059939,0.012265
7.3592e+05,15.622,0.23851,0.05621,0.018985
7.3592e+05,15.628,0.23213,0.066482,0.014835
7.3592e+05,15.646,0.24746,0.071904,0.0094915
7.3592e+05,15.634,0.25955,0.073819,0.012988
7.3592e+05,15.653,0.27526,0.064286,0.020516
7.3592e+05,15.659,0.26943,0.072659,0.022371
7.3592e+05,15.671,0.28903,0.067965,0.018094
7.3592e+05,15.671,0.2888,0.063517,0.017044
7.3592e+05,15.677,0.30413,0.067917,0.021695
7.3592e+05,15.683,0.32525,0.074731,0.019593
7.3592e+05,15.683,0.3031,0.063103,0.01761
7.3592e+05,15.683,0.32561,0.051,0.019424
7.3592e+05,15.707,0.35839,0.056233,0.014771
7.3592e+05,15.701,0.33796,0.068181,0.01704
7.3592e+05,15.713,0.3458,0.055204,0.014258
7.3592e+05,15.719,0.35635,0.078225,0.020859
7.3592e+05,15.719,0.35504,0.073351,0.023769
7.3592e+05,15.744,0.37101,0.094281,0.026595
7.3592e+05,15.731,0.35234,0.034178,0.020418
